Periodo,USD/CLP,11 month expected MPR,Ex-Ante Real Rate,M1,M2,REER,Oil Price,Core CPI M/M_sa,Overall PPI_sa,Manufacturing PPI_sa,Mining PPI_sa,Utilities PPI_sa,Agri PPI_sa,IMACEC Total_sa,IMACEC Production of Goods_sa,IMACEC Commerce_sa,IMACEC Services_sa,IMACEC Factor Cost_sa,Real Wage Growth m/m_sa,Labor Cost m/m_sa,Nominal Wage Growth m/m_sa,Unemployment Rate_sa,Headline CPI_sa
2016-11-01,0.003,3.0,0.5,0.028,0.005,-0.013,-0.093,0.24956806972651419,-3.796703123888992e-05,-0.008497255180263483,0.007721004559641111,-0.01818255519362608,-0.019055020315632193,-0.015110986167890736,-0.04836199247694942,-0.024119837878499154,0.0006268812288290557,-0.015190240823249698,0.5244730517725097,0.43818366304085987,0.41529240152661784,6.682571570356365,0.07534598023852661
2016-12-01,0.002,3.0,0.6,0.054,0.012,-0.016,0.187,0.23745262476659695,0.0634757501641542,0.001446689340866004,0.14664505924211166,-0.0004804766617057688,-0.013657890413034703,0.012791797828745274,0.034326833168062044,0.044292447545111885,0.0014318331488813174,0.014546183503359796,-0.10765923222018023,0.28537408863534447,0.1266799693730409,6.71172615285614,0.3104168300779274
2017-01-01,-0.009,3.0,0.505,0.005,-0.014,-0.002,0.019,0.264622832158545,0.019290161796461376,0.0011492803924734493,0.042998348619887314,0.005979733987089988,-0.0009391799209555948,0.00751263773480626,0.0036363281461557068,0.03316076827486564,0.006281056600305229,0.007308654589505595,0.18570495102150697,0.46007819956661045,0.31114633511117884,6.664906551183212,0.16229683753093876
2017-02-01,-0.027,3.0,0.35,-0.015,-0.009,0.003,0.008,0.29247511665358894,0.009990769466228464,0.0030600131180047543,0.015677934022984247,0.003916280800610297,0.00944375416174828,-0.006868373424164284,-0.006610266915970393,-0.037747884760263944,-0.0015747902143012221,-0.009468692774021667,0.057138407014482195,0.5846201941749034,0.5985769374240506,6.7353478600820464,0.30886298674054813
2017-03-01,0.028,3.0,0.13,-0.001,0.014,-0.017,-0.063,0.15477638569160118,-0.00011396572312571962,0.0024101011607893163,0.0011545990788294404,0.004957939636538818,-0.0017192216827689906,0.004321221854817231,0.008535226499986451,0.017321217969718028,0.0015792731561669049,0.00318081417469096,-0.021914035028556267,0.36588645511358153,0.3144210166803838,6.988600978643402,0.27130028473342876
2017-04-01,-0.008,2.75,-0.025,0.027,0.001,0.025,0.022,0.2915950798081913,0.0035212045057867424,0.0072747482708850385,-0.011677198441693957,0.0026769919682050436,0.0060581880006981455,0.003499350631066017,-0.012843010916637948,0.04221702404897612,0.006231744857773863,0.0028453533140462423,0.22434155525683383,0.5654321053883646,0.4380582777174516,6.979179754479418,0.2599903602899132
2017-05-01,0.024,2.5,-0.252,0.009,0.008,-0.005,-0.043,0.20133924495003502,-0.0035834578287997224,0.00649416040892062,-0.010293585572176637,0.002883793214593723,0.0011152947772412724,-0.008936108872482446,-0.012625328265229371,-0.05855405271106348,-0.0005515221041840573,-0.00852067555060082,-0.002803581052161719,-0.16760636651210822,0.10204450251267888,7.098797968901271,0.1410701991517836
2017-06-01,-0.01,2.5,-0.4,0.012,0.006,0.023,-0.08,0.11246763360066106,0.0009962689445051527,0.0038085418075434196,-0.0002991443317776664,0.002292773730004782,0.008409893940693424,0.018387597457269284,0.03308237102614714,0.05147112944793369,0.007855646874709542,0.020676591456795027,0.40779220755136086,0.5750851422770886,0.5068321090645864,7.040849701591469,0.135752066640941
2017-07-01,-0.01,2.5,-0.2,-0.015,0.005,-0.002,0.045,0.16073873830836163,0.0024053046223275957,-0.0019431478386964973,0.0058262556306083345,-0.000428113894804135,-0.006323115307865557,0.0027390730099892367,-0.01075271502191804,-0.0006831690185349626,0.014604664788033433,0.002059772416253852,0.8427616280739214,0.5223223374864797,0.4833545664679244,7.023093983162358,-0.4083731217919475
2017-08-01,-0.021,2.5,-0.2,-0.008,-0.004,-0.008,0.065,0.18613028095954726,0.011448567933690219,0.0012825925490569509,0.01617171143961723,0.0077054796045787025,0.003120980885441587,0.007598881644778115,0.019506732186557046,0.010364315831060539,0.0052933684509581524,0.008171095334095185,0.4742742234094957,0.6740521845288203,0.5350989638595693,6.806558416345703,0.1731656178660723
